"","model","latent_dimension","hidden_width","nbshape","adj_rand_index","dataset"
"1","bernoulli","2","200",NA,0.565420465587617,"cortex"
"2","gaussian","2","200",NA,0.728235189817201,"cortex"
"3","poisson","2","200",NA,0.381283459426885,"cortex"
"4","bernoulli","10","200",NA,0.630141770298403,"cortex"
"5","gaussian","10","200",NA,0.775793122492744,"cortex"
"6","poisson","10","200",NA,0.500662604093183,"cortex"
"7","bernoulli","50","200",NA,0.623489283721832,"cortex"
"8","gaussian","50","200",NA,0.7765078105184,"cortex"
"9","poisson","50","200",NA,0.533716438479179,"cortex"
"10","bernoulli","2","500",NA,0.389917766312822,"cortex"
"11","gaussian","2","500",NA,0.780525215938925,"cortex"
"12","poisson","2","500",NA,0.308113042499253,"cortex"
"13","bernoulli","10","500",NA,0.716134418538564,"cortex"
"14","gaussian","10","500",NA,0.757487422040396,"cortex"
"15","poisson","10","500",NA,0.803357795794099,"cortex"
"16","bernoulli","50","500",NA,0.689739002658496,"cortex"
"17","gaussian","50","500",NA,0.68197990092483,"cortex"
"18","poisson","50","500",NA,0.62302931523561,"cortex"
"19","negative_binomial","2","200","0.1",0.459841956879806,"cortex"
"20","negative_binomial","10","200","0.1",0.671917172023017,"cortex"
"21","negative_binomial","50","200","0.1",0.553669557552269,"cortex"
"22","negative_binomial","2","500","0.1",0.446254923184983,"cortex"
"23","negative_binomial","10","500","0.1",0.626776070777864,"cortex"
"24","negative_binomial","50","500","0.1",0.722114963699808,"cortex"
"25","negative_binomial","2","200","1",0.471014776914443,"cortex"
"26","negative_binomial","10","200","1",0.624090733582056,"cortex"
"27","negative_binomial","50","200","1",0.634276842801976,"cortex"
"28","negative_binomial","2","500","1",0.529005500966351,"cortex"
"29","negative_binomial","10","500","1",0.739296478776648,"cortex"
"30","negative_binomial","50","500","1",0.539821609063337,"cortex"
"31","negative_binomial","2","200","10",0.387035960549537,"cortex"
"32","negative_binomial","10","200","10",0.624788317741294,"cortex"
"33","negative_binomial","50","200","10",0.637674912371379,"cortex"
"34","negative_binomial","2","500","10",0.512556507897572,"cortex"
"35","negative_binomial","10","500","10",0.628059510915356,"cortex"
"36","negative_binomial","50","500","10",0.544758828912827,"cortex"
"37","pca","2",NA,NA,0.222667732480409,"cortex"
"38","pca","10",NA,NA,0.371428726573413,"cortex"
"39","pca","50",NA,NA,0.487947419129628,"cortex"
